Harga,Lokasi,LT,LB,Kamar,Kamar Mandi,Carport
Rp 750 Juta,"Harapan Indah, Bekasi",72 m²,125 m²,3,3,
Rp 720 Juta,"Galaxy, Bekasi",105 m²,75 m²,2,1,
"Rp 1,33 Miliar","Jati Asih, Bekasi",93 m²,74 m²,3,2,
Rp 990 Juta,"Summarecon Bekasi, Bekasi",82 m²,70 m²,2,2,
Rp 610 Juta,"Jati Asih, Bekasi",72 m²,36 m²,2,1,
Rp 800 Juta,"Bekasi, Bekasi",60 m²,31 m²,2,1,1
"Rp 1,55 Miliar","Jatibening, Bekasi",120 m²,160 m²,4,2,
Rp 780 Juta,"Galaxy, Bekasi",71 m²,108 m²,4,2,
"Rp 1,11 Miliar","Jatibening, Bekasi",100 m²,135 m²,2,1,
"Rp 2,93 Miliar","Galaxy, Bekasi",180 m²,235 m²,4,3,
Rp 500 Juta,"Grand Wisata, Bekasi",60 m²,60 m²,2,1,
Rp 780 Juta,"Jatibening, Bekasi",107 m²,95 m²,3,2,
Rp 850 Juta,"Jati Asih, Bekasi",72 m²,82 m²,3,2,2
Rp 875 Juta,"Jatibening, Bekasi",72 m²,82 m²,3,2,2
Rp 4 Miliar,"Summarecon Bekasi, Bekasi",130 m²,342 m²,4,5,2
"Rp 1,24 Miliar","Tarumajaya, Bekasi",84 m²,57 m²,2,1,1
"Rp 3,56 Miliar","Summarecon Crown Gading, Bekasi",150 m²,234 m²,4,3,2
"Rp 3,25 Miliar","Summarecon Crown Gading, Bekasi",135 m²,213 m²,4,3,2
"Rp 1,8 Miliar","Summarecon Crown Gading, Bekasi",77 m²,93 m²,4,3,2
"Rp 1,9 Miliar","Summarecon Crown Gading, Bekasi",91 m²,80 m²,3,2,2
"Rp 1,1 Miliar","Jatibening, Bekasi",75 m²,70 m²,3,2,2
"Rp 1,2 Miliar","Jatibening, Bekasi",70 m²,70 m²,3,2,2
"Rp 1,35 Miliar","Jatibening, Bekasi",75 m²,90 m²,3,3,2
Rp 890 Juta,"Jati Asih, Bekasi",86 m²,75 m²,3,2,2
"Rp 1,15 Miliar","Jatibening, Bekasi",95 m²,80 m²,3,2,2
"Rp 1,27 Miliar","Galaxy, Bekasi",108 m²,120 m²,3,2,1
"Rp 1,6 Miliar","Jati Asih, Bekasi",72 m²,82 m²,3,2,1
Rp 750 Juta,"Jatibening, Bekasi",100 m²,70 m²,3,2,1
"Rp 2,65 Miliar","Grand Wisata, Bekasi",174 m²,250 m²,4,5,8
"Rp 1,3 Miliar","Galaxy, Bekasi",60 m²,54 m²,2,2,1
"Rp 1,3 Miliar","Jati Asih, Bekasi",60 m²,54 m²,2,2,1
"Rp 3,2 Miliar","Jati Asih, Bekasi",665 m²,700 m²,10,8,10
"Rp 1,5 Miliar","Summarecon Bekasi, Bekasi",66 m²,72 m²,4,2,1
"Rp 1,25 Miliar","Summarecon Bekasi, Bekasi",55 m²,69 m²,3,2,1
"Rp 1,3 Miliar","Jati Asih, Bekasi",60 m²,54 m²,2,2,1
"Rp 1,3 Miliar","Galaxy, Bekasi",60 m²,54 m²,2,2,1
"Rp 1,6 Miliar","Summarecon Bekasi, Bekasi",66 m²,76 m²,4,2,2
"Rp 1,9 Miliar","Summarecon Bekasi, Bekasi",91 m²,84 m²,3,3,1
"Rp 1,9 Miliar","Galaxy, Bekasi",91 m²,98 m²,3,2,1
Rp 810 Juta,"Bekasi, Bekasi",105 m²,80 m²,4,2,2
Rp 888 Juta,"Jati Asih, Bekasi",86 m²,80 m²,3,2,2
"Rp 1,5 Miliar","Jatibening, Bekasi",84 m²,90 m²,3,3,2
"Rp 1,1 Miliar","Cikarang, Bekasi",64 m²,72 m²,3,3,1
"Rp 1,9 Miliar","Jati Asih, Bekasi",91 m²,98 m²,3,2,1
"Rp 1,1 Miliar","Bekasi Timur, Bekasi",64 m²,72 m²,3,3,1
"Rp 1,4 Miliar","Grand Wisata, Bekasi",60 m²,85 m²,4,3,1
"Rp 3,7 Miliar","Grand Wisata, Bekasi",175 m²,160 m²,6,5,1
"Rp 1,4 Miliar","Jatibening, Bekasi",105 m²,140 m²,4,4,4
Rp 800 Juta,"Jatibening, Bekasi",90 m²,60 m²,2,1,2
"Rp 1,2 Miliar","Jati Asih, Bekasi",98 m²,90 m²,4,3,2
"Rp 1,25 Miliar","Jatibening, Bekasi",95 m²,125 m²,3,3,2
Rp 600 Juta,"Jati Asih, Bekasi",71 m²,55 m²,2,2,2
"Rp 1,15 Miliar","Galaxy, Bekasi",78 m²,96 m²,3,3,2
"Rp 2,8 Miliar","Jati Asih, Bekasi",120 m²,140 m²,3,3,1
Rp 950 Juta,"Jatibening, Bekasi",70 m²,78 m²,3,2,2
"Rp 1,1 Miliar","Jati Asih, Bekasi",94 m²,80 m²,2,2,2
"Rp 1,8 Miliar","Summarecon Bekasi, Bekasi",93 m²,76 m²,4,2,1
"Rp 1,85 Miliar","Harapan Indah, Bekasi",104 m²,120 m²,4,3,1
"Rp 1,18 Miliar","Summarecon Bekasi, Bekasi",84 m²,150 m²,3,3,1
"Rp 3,1 Miliar","Kemang Pratama, Bekasi",216 m²,150 m²,3,2,2
"Rp 2,2 Miliar","Jatiwaringin, Bekasi",120 m²,145 m²,3,3,2
"Rp 4,5 Miliar","Kemang Pratama, Bekasi",222 m²,280 m²,4,4,1
Rp 1 Miliar,"Harapan Indah, Bekasi",75 m²,100 m²,3,2,2
